""	"SRR1777612_1"	"SRR1777613_1"	"SRR1777614_1"	"SRR1777615_1"	"SRR1777616_1"	"SRR1777617_1"
"Gng11"	996	762	650	759	716	711
"Gng12"	14029	17694	11086	16975	12303	17759
"Gng13"	0	5	6	1	2	16
"Gng2"	1429	964	943	761	942	976
"Gng3"	155	143	131	131	114	185
"Gng4"	205	204	154	184	165	212
"Gng5"	4813	6116	3815	5724	4142	6221
"Gng7"	230	164	92	160	168	139
"Gng8"	37	44	33	21	64	45
"Gngt1"	2	1	3	1	1	0
"Gngt2"	217	213	145	242	177	257
"Gnl1"	2785	2888	2091	2671	2054	2840
"Gnl2"	1702	1923	1296	1615	1559	1917
"Gnl3"	1263	1437	1017	1090	943	1436
"Gnl3l"	1966	2114	1392	2132	1680	2218
"Gnmt"	22	13	7	7	19	21
"Gnpat"	2709	2420	1709	2372	2046	2669
"Gnpda1"	735	971	636	983	712	922
"Gnpda2"	834	832	642	818	829	1019
"Gnpnat1"	2853	3351	2040	3207	2561	3345
"Gnptab"	2537	3012	2049	3243	2171	2998
"Gnptg"	951	1007	696	1066	865	1150
"Gnrh1"	12	11	4	6	15	10
"Gnrhr"	0	0	0	0	0	0
"Gns"	5849	6155	4506	5724	4600	5865
"Golga1"	1526	1747	1057	1728	1562	1878
"Golga2"	4695	4767	3296	4937	4038	5451
"Golga3"	2733	3239	1915	3001	2336	3143
"Golga4"	9741	10688	7047	10698	8704	11269
"Golga5"	2303	2533	1783	2480	2227	2876
"Golga7"	3357	3549	2389	3073	2689	3675
"Golga7b"	91	88	48	47	68	98
"Golgb1"	6180	8020	4856	8886	6344	8490
"Golim4"	4490	4736	3463	4280	3841	4456
"Golm1"	28283	39499	23573	42407	27419	38432
"Golph3"	6680	7416	5073	7368	5339	7225
"Golph3l"	9306	12290	7662	14406	9001	13159
"Golt1a"	408	534	346	613	298	541
"Golt1b"	1289	1362	1058	1257	1098	1421
"Gon4l"	929	997	666	969	833	1103
"Gopc"	1759	1896	1237	1718	1367	1875
"Gorab"	418	441	330	457	340	438
"Gorasp1"	1284	1377	1022	1593	942	1592
"Gorasp2"	5449	6034	4377	5782	4329	6086
"Gosr1"	1916	2230	1491	2500	2075	2566
"Gosr2"	3574	3779	2358	3275	2746	3719
"Got1"	2871	3031	2021	2412	2085	3000
"Got1l1"	1	5	0	1	1	2
"Got2"	7352	6461	5046	5986	5294	6575
"Gp1ba"	46	26	21	9	30	29
"Gp1bb"	156	134	118	90	104	147
"Gp2"	16	23	6	10	1	0
"Gp5"	8	2	5	2	0	3
"Gp6"	20	27	22	34	25	51
"Gp9"	0	0	0	1	2	0
"Gpa33"	26697	36701	22385	38233	25060	37324
"Gpaa1"	1879	2096	1350	2239	1541	2356
"Gpalpp1"	1488	1716	1274	1987	1507	2017
"Gpam"	1615	1343	1001	1232	1029	1390
"Gpank1"	596	747	485	650	655	765
"Gpat2"	2	2	0	2	0	7
"Gpatch1"	979	1086	743	1020	798	1123
"Gpatch11"	841	835	585	840	773	958
"Gpatch2"	1184	1392	935	1397	989	1273
"Gpatch2l"	1169	1225	888	1053	873	1194
"Gpatch3"	200	226	212	211	157	222
"Gpatch4"	593	671	439	607	562	774
"Gpatch8"	1962	2260	1660	2430	1931	2536
"Gpbar1"	21	28	27	17	20	32
"Gpbp1"	3619	4091	2701	4095	3133	4158
"Gpbp1l1"	4481	5251	3602	5703	4308	5848
"Gpc1"	3076	1942	1672	1411	1751	1750
"Gpc2"	84	72	72	76	87	96
"Gpc3"	981	737	654	485	748	556
"Gpc4"	2048	2213	1431	2165	1966	2442
"Gpc5"	0	0	0	0	3	3
"Gpc6"	675	517	528	452	485	427
"Gpcpd1"	2547	2359	1570	1995	1651	2120
"Gpd1"	3545	2112	1379	1229	1013	1408
"Gpd1l"	5669	6444	4267	5973	4972	6169
"Gpd2"	3033	3462	2156	3262	2664	3614
"Gper1"	96	115	92	79	101	115
"Gpha2"	1	0	1	2	1	0
"Gphb5"	0	0	0	0	0	0
"Gphn"	1308	1434	991	1367	1071	1399
"Gpi1"	28379	28866	19824	28192	22662	31170
"Gpihbp1"	323	143	153	142	172	146
"Gpkow"	1687	1973	1220	1892	1399	1908
"Gpld1"	1829	1854	1404	1950	1441	2129
"Gpm6a"	182	100	124	99	86	94
"Gpm6b"	1012	758	734	637	641	601
"Gpn1"	573	507	384	540	461	639
"Gpn2"	589	603	465	654	482	805
"Gpn3"	649	674	499	700	679	868
"Gpnmb"	571	425	394	270	372	465
"Gpr1"	3	2	4	5	11	12
"Gpr101"	0	0	0	0	0	0
"Gpr107"	2992	3161	2142	3414	2524	3458
"Gpr108"	3584	4540	2882	4731	3356	4721
"Gpr119"	12	13	13	27	25	29
"Gpr12"	1	5	2	3	0	1
"Gpr132"	107	83	48	57	42	22
"Gpr135"	4	21	6	7	3	7
"Gpr137"	1161	1242	812	1101	905	1199
"Gpr137b"	1202	1521	789	1314	949	1335
"Gpr137b-ps"	1208	1455	873	1258	967	1340
"Gpr137c"	8	7	3	4	9	9
"Gpr139"	0	0	0	0	0	0
"Gpr141"	37	21	12	34	9	14
"Gpr142"	0	0	0	0	0	0
"Gpr143"	0	0	0	0	0	0
"Gpr146"	687	511	396	405	408	348
"Gpr149"	32	16	8	21	3	12
"Gpr15"	0	0	0	3	5	4
"Gpr150"	1	1	4	0	2	1
"Gpr151"	0	2	2	0	2	4
"Gpr152"	1	2	0	4	1	2
"Gpr153"	1139	855	755	749	681	711
"Gpr155"	311	165	181	189	212	188
"Gpr156"	6	14	4	5	4	5
"Gpr157"	257	138	169	137	167	167
"Gpr158"	10	3	8	6	6	10
"Gpr160"	575	670	407	853	654	823
"Gpr161"	114	70	63	57	81	89
"Gpr162"	137	106	131	108	116	79
"Gpr165"	8	3	1	7	6	5
"Gpr17"	42	27	18	33	28	38
"Gpr171"	24	38	22	18	15	8
"Gpr173"	16	11	20	6	17	20
"Gpr174"	8	30	3	22	6	7
"Gpr176"	112	87	84	89	116	45
"Gpr179"	15	9	8	25	13	19
"Gpr18"	15	10	16	28	5	11
"Gpr180"	1167	1122	704	1054	806	1209
"Gpr182"	92	73	74	80	48	43
"Gpr183"	131	148	83	90	81	55
"Gpr19"	241	271	157	205	194	223
"Gpr20"	627	692	439	645	490	552
"Gpr21"	10	9	11	7	9	3
"Gpr22"	124	67	70	39	118	98
"Gpr25"	1	0	1	0	0	1
"Gpr26"	1	0	0	0	0	0
"Gpr27"	64	30	43	21	36	40
"Gpr3"	3	0	2	2	3	0
"Gpr31b"	2	1	1	4	9	0
"Gpr33"	0	2	6	1	0	1
"Gpr34"	209	181	149	205	188	158
"Gpr35"	604	786	385	936	698	865
"Gpr37"	47	32	34	23	32	56
"Gpr37l1"	525	392	392	342	320	423
"Gpr39"	98	154	86	119	92	172
"Gpr4"	233	170	142	131	104	133
"Gpr45"	0	1	3	1	8	1
"Gpr50"	2	0	1	1	0	0
"Gpr52"	7	5	1	5	11	3
"Gpr55"	21	64	45	65	48	81
"Gpr6"	0	0	0	0	0	0
"Gpr61"	7	9	4	6	5	2
"Gpr62"	8	2	1	1	0	1
"Gpr63"	7	32	6	17	12	11
"Gpr65"	111	121	71	87	61	71
"Gpr68"	119	107	72	104	96	116
"Gpr75"	11	3	3	4	3	5
"Gpr82"	2	1	2	1	1	4
"Gpr83"	64	44	71	68	62	96
"Gpr84"	8	2	5	3	1	2
"Gpr85"	91	52	34	63	45	74
"Gpr87"	90	25	66	2	21	75
"Gpr88"	51	27	39	16	18	19
"Gpr89"	1346	1474	976	1754	1207	2048
"Gprasp1"	1085	825	711	837	853	910
"Gprasp2"	187	176	122	101	119	159
"Gprc5a"	8038	11701	6573	7664	4745	9628
"Gprc5b"	1372	866	839	592	706	639
"Gprc5c"	290	208	138	145	163	156
"Gprc5d"	135	30	155	9	12	41
"Gprc6a"	1	1	1	0	1	0
"Gprin1"	51	25	21	40	49	56
"Gprin2"	9	2	3	2	2	3
"Gprin3"	185	256	179	339	237	293
"Gps1"	3071	3075	2182	3098	2273	3316
"Gps2"	1440	1551	1132	1523	1451	1657
"Gpsm1"	446	324	303	348	342	380
"Gpsm2"	3049	2940	2110	2761	1998	3113
"Gpsm3"	480	400	272	297	309	273
"Gpt"	927	989	686	866	633	1096
"Gpt2"	1848	1479	1118	1555	1362	1539
"Gpx1"	11364	12773	8746	12267	9038	13444
"Gpx2"	9382	12967	7530	13967	8172	16348
"Gpx2-ps1"	11	22	17	18	8	25
"Gpx3"	4952	4118	3232	3734	3830	3822
"Gpx4"	7539	6847	5194	6399	5105	7496
"Gpx5"	0	0	0	0	0	0
"Gpx6"	0	0	0	1	0	0
"Gpx7"	270	205	172	256	226	205
"Gpx8"	1031	715	634	615	686	663
"Gramd1a"	790	672	474	515	545	573
"Gramd1b"	196	199	119	272	192	218
"Gramd1c"	257	280	195	306	245	383
"Gramd2"	21	31	40	55	42	63
"Gramd3"	1329	1430	1098	1827	1194	1616
"Gramd4"	2265	2159	1665	2503	1640	2179
"Grap"	307	218	201	246	162	168
"Grap2"	101	140	53	122	66	80
"Grasp"	292	250	219	226	229	212
"Grb10"	1388	871	966	837	954	971
"Grb14"	1195	615	715	484	681	946
"Grb2"	5951	6455	4516	6103	4506	6539
"Grb7"	3373	4847	2555	4920	4736	5093
"Grcc10"	3018	3111	2069	3103	2343	3305
"Greb1"	91	130	80	169	112	126
"Greb1l"	132	106	77	183	137	220
"Grem1"	2830	2021	2102	1868	2052	2329
"Grem2"	3653	2695	2581	2916	3002	3341
"Grhl1"	498	245	402	31	206	454
"Grhl2"	1389	1739	1059	1962	1194	1909
"Grhl3"	288	192	235	98	114	267
"Grhpr"	1043	1126	784	1071	939	1157
"Gria1"	121	53	71	76	90	109
"Gria2"	50	23	41	29	47	41
"Gria3"	600	400	403	256	460	451
"Gria4"	210	174	167	178	162	174
"Grid1"	15	9	9	20	10	4
"Grid2"	9	5	6	2	5	4
"Grid2ip"	20	17	22	6	30	27
"Grifin"	1	1	0	0	0	0
"Grik1"	44	26	26	7	14	48
"Grik2"	37	15	17	21	50	19
"Grik3"	294	171	190	149	196	268
"Grik4"	16	19	17	10	28	21
"Grik5"	837	636	569	569	673	584
"Grin1"	74	69	33	71	58	92
"Grin1os"	42	109	48	111	72	112
"Grin2a"	1	0	0	0	0	1
"Grin2b"	10	15	12	20	23	22
"Grin2c"	0	0	0	2	1	1
"Grin2d"	68	50	49	66	98	109
"Grin3a"	77	37	62	31	49	59
"Grin3b"	36	41	15	27	30	16
"Grina"	3293	3032	2255	2767	2388	2919
"Grip1"	34	30	17	27	35	49
"Grip1os1"	0	0	0	0	0	0
"Grip1os2"	0	0	0	0	0	0
"Grip2"	120	54	62	27	44	41
"Gripap1"	1148	1241	929	1201	1170	1365
"Grk1"	48	37	32	43	34	42
"Grk4"	221	252	201	265	244	296
"Grk5"	827	790	594	672	602	543
"Grk6"	3682	4368	2854	4648	3203	4367
"Grm1"	13	1	1	2	4	2
"Grm2"	0	0	0	0	0	1
"Grm3"	0	0	1	0	0	1
"Grm4"	1	4	2	3	6	12
"Grm5"	0	1	1	0	0	1
"Grm6"	0	5	0	1	0	0
"Grm7"	36	21	17	10	25	35
"Grm8"	1	0	0	0	0	1
"Grn"	9589	8891	7414	8798	7627	8816
"Grp"	79	74	44	60	53	84
"Grpel1"	2489	2650	1750	2739	1985	2819
"Grpel2"	1992	2434	1461	2234	2097	2379
"Grpr"	13	20	10	36	19	16
"Grrp1"	135	81	95	76	107	111
"Grsf1"	3863	3659	2786	3778	3119	3814
"Grtp1"	2179	3055	1672	2983	1875	3164
"Grwd1"	478	560	399	573	419	685
"Grxcr1"	0	0	0	0	0	0
"Grxcr2"	0	0	0	0	1	0
"Gsap"	233	121	134	185	161	122
"Gsc"	7	0	0	0	0	2
"Gsc2"	0	0	0	0	0	0
"Gsdma"	540	276	423	59	245	454
"Gsdma2"	5	3	7	0	4	4
"Gsdma3"	1	1	2	0	0	0
"Gsdmc"	397	420	288	431	325	661
"Gsdmc2"	8514	10821	6214	11700	9184	14781
"Gsdmc3"	4502	5322	3037	6089	5029	7429
"Gsdmc4"	26597	35684	20575	38336	23364	46768
"Gsdmcl-ps"	127	182	87	170	88	263
"Gsdmcl1"	0	0	0	0	1	0
"Gsdmcl2"	0	0	0	0	1	1
"Gsdmd"	4693	6773	3708	6414	4693	7610
"Gse1"	3056	4194	2516	4222	3241	4321
"Gsg1"	10	4	8	2	4	0
"Gsg1l"	48	18	37	47	15	25
"Gsg2"	312	330	207	431	250	366
"Gsk3a"	2825	2930	2054	2789	2238	3227
"Gsk3b"	4220	4722	3436	4806	3550	4837
"Gskip"	1345	1426	956	1367	1051	1505
"Gsn"	89860	68878	63268	58234	61768	63113
"Gspt1"	4982	5518	3782	4981	3911	5577
"Gspt2"	226	200	125	192	151	223
"Gsr"	5064	6954	4483	6288	4186	6903
"Gss"	5169	6580	4215	7012	5077	7679
"Gsta1"	87	137	83	96	71	170
"Gsta2"	32	26	15	1	18	13
"Gsta3"	1359	1577	1014	1743	1253	1899
"Gsta4"	2811	2801	2582	1822	2171	2639
"Gstcd"	358	440	338	406	360	396
"Gstk1"	1054	1163	687	1298	877	1391
"Gstm1"	10083	9238	7242	11595	8191	11541
"Gstm2"	3631	3867	2563	4528	3124	4707
"Gstm3"	997	1115	684	1633	845	1719
"Gstm4"	576	598	437	670	545	817
"Gstm5"	1650	1619	1173	1843	1432	2054
"Gstm6"	480	581	379	701	443	670
"Gstm7"	416	465	293	617	367	536
"Gsto1"	13450	15132	11936	13927	11607	15371
"Gsto2"	17	15	13	31	28	23
"Gstp1"	3547	3865	2606	4084	2758	4485
"Gstp2"	842	932	515	1056	632	1182
"Gstt1"	2007	1851	1519	2011	1508	1920
"Gstt2"	1022	1298	819	1388	886	1364
"Gstt3"	2570	3251	2265	3439	2397	3355
"Gstt4"	0	0	0	0	1	0
"Gstz1"	1124	1055	694	1131	933	1328
"Gsx1"	0	0	0	0	0	0
"Gsx2"	0	0	0	0	0	0
"Gt(ROSA)26Sor"	683	727	492	771	724	857
"Gtdc1"	452	362	304	344	352	403
"Gtf2a1"	1112	1140	840	1233	1198	1408
"Gtf2a1l"	7	7	2	6	5	4
"Gtf2a2"	1363	1368	901	1340	1073	1445
"Gtf2b"	1494	1532	1082	1442	1126	1444
"Gtf2e1"	533	538	363	546	400	569
"Gtf2e2"	1250	1335	964	1469	1012	1390
"Gtf2f1"	2334	2939	2031	2660	2169	3025
"Gtf2f2"	816	910	611	848	745	1015
"Gtf2h1"	2389	2543	1750	2387	1762	2573
"Gtf2h2"	476	546	381	540	502	609
"Gtf2h3"	974	1233	811	1243	845	1283
"Gtf2h4"	522	690	469	713	530	798
"Gtf2h5"	1628	1708	1306	1719	1376	1796
"Gtf2i"	5553	5090	3759	5440	4278	5784
"Gtf2ird1"	2378	3062	1887	3111	1950	3066
"Gtf2ird2"	302	296	220	336	313	333
"Gtf3a"	407	412	269	464	363	492
"Gtf3c1"	3132	3342	2335	3665	2346	3729
"Gtf3c2"	3132	3364	2342	3343	2904	3738
"Gtf3c3"	459	637	410	716	566	686
"Gtf3c4"	1542	1651	1203	1832	1329	1739
"Gtf3c5"	816	980	732	1044	930	1166
"Gtf3c6"	759	950	639	965	765	1020
"Gtpbp1"	2528	2733	1978	2809	2169	2925
"Gtpbp10"	1033	1117	703	1127	888	1187
"Gtpbp2"	3757	4534	2936	4606	4054	4994
"Gtpbp3"	696	799	585	807	659	869
"Gtpbp4"	1664	1748	1172	1630	1290	1808
"Gtpbp6"	264	290	163	288	266	336
"Gtpbp8"	442	451	280	411	438	520
"Gtse1"	297	328	244	569	290	498
"Gtsf1"	2	0	0	4	1	7
"Gtsf1l"	1	1	0	0	0	0
"Guca1a"	77	57	38	70	41	52
"Guca1b"	24	16	5	22	20	13
"Guca2a"	7072	9873	5489	8919	5876	9482
"Guca2b"	127	178	120	219	159	188
"Gucd1"	3027	3717	2109	3970	3159	4046
"Gucy1a2"	193	115	102	124	137	101
"Gucy1a3"	2694	1820	1897	1656	2021	1778
"Gucy1b2"	0	0	0	0	1	1
"Gucy1b3"	1578	1119	1038	1112	1227	1155
"Gucy2c"	5842	7772	4564	8981	5573	8423
"Gucy2d"	0	0	0	1	0	1
"Gucy2e"	1	1	0	0	0	1
"Gucy2f"	0	0	0	0	0	0
"Gucy2g"	18	7	6	2	6	5
"Guf1"	1017	1056	690	1063	964	1192
"Guk1"	2047	2169	1561	2008	1509	2373
"Gulo"	3	1	0	1	1	1
"Gulp1"	727	602	527	513	537	561
"Gusb"	2129	2551	1666	2234	1783	2356
"Gvin1"	0	0	0	0	0	0
"Gxylt1"	2310	2651	1907	2343	1825	2324
"Gxylt2"	26	25	30	8	13	23
"Gyg"	2252	1685	1360	1554	1553	1925
"Gyk"	3002	3772	2464	3890	2673	3616
"Gykl1"	0	0	0	0	0	0
"Gyltl1b"	313	355	305	378	277	435
"Gypa"	30	34	23	36	26	50
"Gypc"	1010	750	585	637	642	608
"Gys1"	3139	1880	1501	1334	1476	1774
"Gys2"	0	0	0	0	0	0
"Gzf1"	1485	1328	1009	1465	1081	1428
"Gzma"	2	7	3	4	2	0
"Gzmb"	15	9	17	28	12	4
"Gzmc"	7	5	10	0	5	3
"Gzmd"	0	0	0	0	0	0
"Gzme"	0	0	0	0	0	0
"Gzmf"	0	0	0	0	0	1
"Gzmg"	0	0	0	0	0	0
"Gzmk"	0	0	0	0	1	0
"Gzmm"	38	33	25	11	4	22
"Gzmn"	0	0	0	0	0	0
"H13"	5500	5954	4302	6083	4540	5988
"H19"	7490	3419	2279	195	1426	1886
"H1f0"	17985	19136	15577	22568	14048	19366
"H1fnt"	0	0	0	0	0	0
"H1foo"	0	1	0	0	0	1
"H1fx"	175	117	118	95	87	99
"H2-Aa"	6149	5310	3804	4490	3659	3249
"H2-Ab1"	6028	5463	3701	4635	3653	3340
"H2-Bl"	10	15	2	16	13	18
"H2-D1"	11004	13031	8880	12532	9303	12435
"H2-DMa"	781	755	566	619	454	461
"H2-DMb1"	497	398	299	377	299	260
"H2-DMb2"	127	133	45	101	52	50
"H2-Ea-ps"	0	0	0	0	0	0
"H2-Eb1"	6086	5413	3981	4839	3729	3288
"H2-Eb2"	134	105	30	75	20	19
"H2-K1"	30042	36604	23625	36850	26360	38166
"H2-K2"	257	442	190	269	373	364
"H2-Ke6"	1451	1431	1004	1478	1215	1628
"H2-L"	9	6	2	2	5	0
"H2-M1"	0	0	0	0	0	0
"H2-M10.1"	0	0	0	0	0	0
"H2-M10.2"	0	0	0	0	0	0
"H2-M10.3"	0	0	0	0	1	0
"H2-M10.4"	0	0	0	0	0	0
"H2-M10.5"	0	0	0	0	0	0
"H2-M10.6"	0	0	0	0	0	0
"H2-M11"	0	0	0	0	0	0
"H2-M2"	38	58	25	60	35	34
"H2-M3"	343	354	247	347	308	295
"H2-M5"	1	0	1	0	1	1
"H2-M9"	1	0	0	0	8	6
"H2-Oa"	70	71	31	78	25	20
"H2-Ob"	226	232	81	193	86	74
"H2-Q1"	1509	2026	1246	1942	1286	1930
"H2-Q10"	186	240	170	256	172	349
"H2-Q2"	1722	2164	1406	2178	1468	2112
"H2-Q4"	1847	2076	1418	2042	1511	1938
"H2-Q5"	103	138	69	93	106	96
"H2-Q6"	0	0	0	0	0	0
"H2-Q7"	0	0	0	1	0	0
"H2-Q8"	2	8	3	10	2	3
"H2-Q9"	0	0	0	0	0	0
"H2-T10"	92	132	88	88	102	103
"H2-T22"	47	58	31	62	44	59
"H2-T23"	4638	5133	3481	5975	4270	5591
"H2-T24"	109	77	88	147	72	86
"H2-T3"	3	5	9	17	10	13
"H2-T9"	0	0	0	0	0	0
"H2afb1"	0	0	0	0	0	0
"H2afb2"	0	0	0	0	0	0
"H2afb3"	0	0	0	0	0	0
"H2afj"	4729	5268	4009	5022	3961	5687
"H2afv"	2935	3064	2316	3475	2645	3447
"H2afx"	1769	1902	1523	2696	1516	2610
"H2afy"	4469	4583	3159	4700	3498	4797
"H2afy2"	393	292	302	304	262	333
"H2afy3"	0	0	1	1	1	1
"H2afz"	10110	10997	7862	12200	8947	13182
"H2bfm"	0	0	0	0	0	0
"H3f3a"	15549	16199	10686	16265	12120	16847
"H3f3b"	30901	36423	24990	35338	26056	37651
"H60b"	0	0	0	0	0	2
"H60c"	178	91	128	44	86	157
"H6pd"	1992	1867	1373	1719	1410	1550
"Haao"	34	24	12	20	22	12
"Habp2"	0	0	0	0	1	0
"Habp4"	1407	1151	939	1103	1039	1156
"Hacd1"	2659	2149	1739	2050	1852	2484
"Hacd2"	2431	1664	1617	1486	1681	1912
"Hacd3"	4412	4792	3453	4471	3514	5146
"Hacd4"	218	198	181	248	182	203
"Hace1"	729	840	576	709	654	776
"Hacl1"	1257	603	807	546	910	853
"Hadh"	10959	12493	8352	14127	10221	14829
"Hadha"	10490	10876	7571	12071	8399	12007
"Hadhb"	7183	7289	5061	7739	5383	7760
"Hagh"	2104	2166	1472	2187	1590	2479
"Haghl"	603	632	451	564	524	654
"Haglr"	3	0	11	6	4	9
"Hal"	219	107	179	23	32	272
"Halr1"	0	2	3	3	3	0
"Hamp"	0	0	3	0	0	0
"Hamp2"	84	19	13	3	7	12
"Hand1"	285	229	170	240	219	249
"Hand2"	1308	901	940	842	903	1276
"Hao1"	16	5	3	13	7	7
"Hao2"	4111	5261	3046	10214	5453	8440
"Hap1"	410	332	385	330	356	360
"Hapln1"	441	416	363	466	422	396
"Hapln2"	0	4	0	0	0	2
"Hapln3"	6	9	4	2	5	11
"Hapln4"	0	0	0	0	2	0
"Harbi1"	432	376	300	459	389	443
"Hars"	2418	2531	1875	2348	2048	2764
"Hars2"	936	1043	662	1241	1016	1174
"Has1"	21	13	12	20	6	15
"Has2"	217	241	213	190	151	183
"Has2os"	7	1	5	3	7	2
"Has3"	101	57	56	24	55	35
"Hat1"	1278	1539	983	1375	1156	1695
"Haus1"	443	436	332	494	382	518
"Haus2"	796	899	665	952	767	962
"Haus3"	345	381	277	421	352	439
"Haus4"	608	767	563	865	654	889
"Haus5"	422	430	253	559	402	597
"Haus6"	355	464	329	435	362	483
"Haus7"	581	559	448	605	493	709
"Haus8"	585	741	471	885	570	813
"Havcr1"	0	1	0	0	1	1
"Havcr2"	115	125	61	99	64	57
"Hax1"	1313	1455	1010	1548	1156	1721
"Hba-a1"	0	0	0	0	0	0
"Hba-a2"	0	0	0	0	0	0
"Hba-x"	0	0	0	0	0	0
"Hbb-b1"	0	0	2	0	0	0
"Hbb-b2"	0	0	0	0	0	0
"Hbb-bh1"	0	0	0	0	0	0
"Hbb-bh2"	0	0	0	0	0	0
"Hbb-bs"	3	1	1	0	0	0
"Hbb-bt"	0	0	0	0	0	0
"Hbb-y"	0	0	0	0	0	0
"Hbegf"	853	1472	891	892	903	1275
"Hbp1"	4537	4551	3322	4703	4766	4704
"Hbq1a"	0	0	0	0	0	0
"Hbq1b"	0	0	0	1	0	1
"Hbs1l"	2217	2361	1656	2458	1930	2526
"Hc"	20	4	7	5	1	2
"Hcar1"	128	157	101	128	115	113
"Hcar2"	175	107	141	42	104	143
"Hccs"	1206	1236	1004	1245	976	1399
"Hcfc1"	3606	4171	2557	4698	3814	5218
"Hcfc1r1"	3947	3643	2713	3339	2768	3685
"Hcfc2"	585	653	420	570	469	601
"Hck"	204	225	126	226	128	140
"Hcls1"	532	473	351	455	423	275
"Hcn1"	289	99	194	51	143	245
"Hcn2"	285	451	280	383	301	368
"Hcn3"	42	62	41	47	51	57
"Hcn4"	44	17	21	13	28	23
"Hcrt"	0	0	0	0	0	0
"Hcrtr1"	65	64	41	24	59	67
"Hcrtr2"	1	0	0	0	0	0
"Hcst"	47	54	34	44	45	53
"Hdac1"	4744	5032	3428	4796	3405	4711
"Hdac10"	484	550	310	652	602	698
"Hdac11"	1320	1412	1002	1537	1253	1493
"Hdac2"	3136	2994	2398	3006	2596	3452
"Hdac3"	3150	3127	2184	3032	2350	3507
"Hdac4"	551	668	399	562	375	529
"Hdac5"	4002	3264	2759	3810	3526	3860
"Hdac6"	785	771	596	831	710	853
"Hdac7"	1426	1158	1085	1147	994	1035
"Hdac8"	380	381	253	445	327	439
"Hdac9"	494	292	313	380	408	388
"Hdc"	28	23	13	19	5	13
"Hddc2"	576	597	400	540	432	628
"Hddc3"	132	188	89	149	140	144
"Hdgf"	11089	11042	8248	10572	8515	11735
"Hdgfl1"	0	0	0	0	0	0
"Hdgfrp2"	1538	1497	1133	1566	1436	1707
"Hdgfrp3"	740	548	549	483	539	577
"Hdhd1a"	0	0	0	0	0	0
"Hdhd2"	1134	1133	830	1250	1080	1386
"Hdhd3"	573	803	432	637	416	763
"Hdlbp"	16813	20411	12941	20527	15230	21152
"Hdx"	5	5	1	1	2	1
"Heatr1"	793	1028	610	1013	764	1096
"Heatr3"	1021	930	715	814	698	1004
"Heatr5a"	3076	3662	2524	3795	2990	3771
"Heatr5b"	1004	1080	714	1356	995	1275
"Heatr6"	749	884	536	952	729	1062
"Heatr9"	1	1	0	2	0	0
"Hebp1"	457	290	254	224	268	291
"Hebp2"	739	626	634	555	500	863
"Heca"	2671	2875	2197	2885	2638	3097
"Hectd1"	7602	8057	5205	8260	6332	8721
"Hectd2"	124	97	70	94	56	93
"Hectd3"	3787	4436	2801	4816	3865	5230
"Hecw1"	3	5	6	4	10	11
"Hecw2"	142	99	87	84	109	80
"Heg1"	1349	1359	1113	1179	1048	1105
"Helb"	904	1116	731	1261	1022	1155
"Hells"	810	1217	678	945	702	951
"Helq"	339	360	293	348	298	376
"Helt"	0	0	0	0	0	0
"Helz"	1102	1301	856	1457	775	1421
"Helz2"	2367	3176	1894	3490	1810	3394
"Hemgn"	0	0	0	2	1	0
"Hemk1"	328	360	237	438	291	370
"Henmt1"	1	1	2	2	0	2
"Hepacam"	173	141	118	249	188	348
"Hepacam2"	2709	3151	1872	4178	2803	3363
"Heph"	3509	4923	2735	5165	3275	5309
"Hephl1"	57	20	35	7	3	23
"Herc1"	3169	3498	2133	3544	2711	3434
"Herc2"	3991	4192	2645	4388	3671	4584
"Herc3"	1062	1012	667	867	817	1125
"Herc4"	2159	2509	1617	2403	1733	2505
"Herc6"	226	246	179	337	255	252
"Herpud1"	4940	5094	3434	4955	4947	5622
"Herpud2"	1812	1905	1390	1742	1531	1940
"Hes1"	2221	2798	2062	2355	2228	2665
"Hes2"	170	358	161	251	185	360
"Hes3"	0	0	0	0	0	0
"Hes5"	6	8	1	1	1	4
"Hes6"	2431	2972	1728	2750	1928	3041
"Hes7"	7	11	5	1	7	5
"Hesx1"	5	19	6	13	12	17
"Hexa"	4938	5643	3808	6472	4357	5961
"Hexb"	7921	8500	5971	10091	7208	9402
"Hexdc"	595	647	417	804	662	875
"Hexim1"	4230	4669	3569	4709	3798	4782
"Hexim2"	139	98	91	99	88	101
"Hey1"	275	175	199	157	172	178
"Hey2"	117	102	70	52	108	89
"Heyl"	534	405	404	312	362	381
"Hfe"	646	613	477	633	565	614
"Hfe2"	1786	623	544	36	407	402
"Hfm1"	3	5	1	4	0	2
"Hgd"	3	2	1	3	2	1
"Hgf"	451	442	298	422	308	318
"Hgfac"	2879	4161	2480	4887	2996	4239
"Hgh1"	329	342	294	275	257	313
"Hgs"	3326	3927	2450	4016	2779	3949
"Hgsnat"	1919	2151	1521	1890	1546	1965
"Hhat"	180	180	163	203	190	251
"Hhatl"	1092	390	500	204	465	439
"Hhex"	379	377	245	291	289	365
"Hhip"	1889	1602	1452	1897	1692	1264
"Hhipl1"	59	82	49	74	31	37
"Hhipl2"	1	4	6	3	5	3
"Hhla1"	0	0	0	0	0	0
"Hiat1"	2521	2717	1833	2964	2237	3090
"Hiatl1"	3730	4548	3069	4402	3379	4527
"Hibadh"	4152	4109	2938	4375	3390	4654
